latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
43.90913,21.51163,299.76,0.39,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,284.18,0.48,N
44.07855,22.10634,301.39,0.38,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,286.8,0.7,N
44.00901,19.88957,303.32,0.41,0.37,2025-06-01,0030,N21,VIIRS,n,2.0NRT,281.78,0.48,N
45.21373,21.1154,302.52,0.39,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,283.98,1.02,N
45.23912,19.63492,323.07,0.42,0.38,2025-06-01,0030,N21,VIIRS,n,2.0NRT,285.72,2.05,N
45.07109,19.19634,300.64,0.43,0.38,2025-06-01,0030,N21,VIIRS,n,2.0NRT,285.36,0.81,N
44.60746,20.96724,299.68,0.39,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,284.12,0.79,N
44.59946,20.97516,305.78,0.39,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,285.38,0.92,N
44.59875,20.98005,310.79,0.39,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,285.17,1.4,N
44.59615,20.97424,299.72,0.39,0.36,2025-06-01,0030,N21,VIIRS,n,2.0NRT,284.09,0.92,N
44.59749,20.97703,308.62,0.54,0.42,2025-06-02,0009,N21,VIIRS,n,2.0NRT,286.04,2.64,N
44.0811,22.10421,301.7,0.48,0.4,2025-06-02,0009,N21,VIIRS,n,2.0NRT,287.1,1.37,N
44.6022,20.97661,296.27,0.69,0.74,2025-06-02,0149,N21,VIIRS,n,2.0NRT,283.88,2.46,N
44.5993,20.97526,303.35,0.69,0.74,2025-06-02,0149,N21,VIIRS,n,2.0NRT,284.08,2.33,N
43.84201,19.88754,328.62,0.39,0.36,2025-06-02,1136,N21,VIIRS,l,2.0NRT,300.39,5.12,D
44.13115,21.35832,336.49,0.41,0.37,2025-06-02,1136,N21,VIIRS,n,2.0NRT,301.74,4.75,D
44.29493,20.61456,330.75,0.4,0.37,2025-06-02,1136,N21,VIIRS,l,2.0NRT,303.1,3.98,D
44.59774,20.97646,300.76,0.61,0.53,2025-06-02,2352,N21,VIIRS,n,2.0NRT,287.28,1.15,N
44.0789,22.10636,302.02,0.53,0.5,2025-06-02,2352,N21,VIIRS,n,2.0NRT,289.14,1.12,N
44.08242,22.1039,295.58,0.49,0.65,2025-06-03,0132,N21,VIIRS,n,2.0NRT,285.55,0.85,N
44.60042,20.97784,331.66,0.41,0.37,2025-06-03,1117,N21,VIIRS,l,2.0NRT,305.94,4.29,D
44.07892,22.10392,300.73,0.46,0.64,2025-06-03,2333,N21,VIIRS,n,2.0NRT,287.88,1.09,N
44.01107,19.88635,301.01,0.47,0.47,2025-06-04,0113,N21,VIIRS,n,2.0NRT,286.2,0.66,N
44.03921,20.48899,328.35,0.42,0.45,2025-06-04,1058,N21,VIIRS,l,2.0NRT,302.38,3.28,D
44.42624,20.69241,335.64,0.4,0.45,2025-06-04,1058,N21,VIIRS,n,2.0NRT,302.82,2.32,D
44.59793,20.97857,337.53,0.39,0.44,2025-06-04,1058,N21,VIIRS,n,2.0NRT,299.94,5.06,D
44.59848,20.97601,312.97,0.48,0.4,2025-06-05,0056,N21,VIIRS,n,2.0NRT,291.16,2.03,N
44.59494,20.9746,300.1,0.48,0.4,2025-06-05,0056,N21,VIIRS,n,2.0NRT,289.77,0.66,N
44.08084,22.10748,303.75,0.54,0.42,2025-06-05,0056,N21,VIIRS,n,2.0NRT,290.53,1.07,N
44.01242,19.8871,305.23,0.45,0.39,2025-06-05,0056,N21,VIIRS,n,2.0NRT,287.27,1,N
44.08088,22.10566,302.22,0.39,0.36,2025-06-06,0035,N21,VIIRS,n,2.0NRT,281.81,0.84,N
43.90887,21.50939,297.24,0.39,0.36,2025-06-06,0035,N21,VIIRS,n,2.0NRT,277.06,0.93,N
44.01037,19.88681,310.44,0.39,0.36,2025-06-06,0035,N21,VIIRS,n,2.0NRT,289.33,1.06,N
45.06967,19.19219,336.42,0.39,0.44,2025-06-06,1202,N21,VIIRS,l,2.0NRT,307.64,5.3,D
44.36419,20.9426,301.11,0.47,0.4,2025-06-07,0018,N21,VIIRS,n,2.0NRT,290.11,0.68,N
44.08096,22.10473,305.43,0.43,0.38,2025-06-07,0018,N21,VIIRS,n,2.0NRT,290.15,1.22,N
44.96895,19.62156,307.79,0.69,0.74,2025-06-07,0158,N21,VIIRS,n,2.0NRT,288.69,2.07,N
45.45456,20.82316,331.35,0.45,0.39,2025-06-07,1142,N21,VIIRS,n,2.0NRT,301.99,3.47,D
45.45388,20.81741,331.18,0.45,0.39,2025-06-07,1142,N21,VIIRS,n,2.0NRT,302.71,3.47,D
44.60109,20.9792,307.68,0.51,0.49,2025-06-07,2358,N21,VIIRS,n,2.0NRT,290.85,1.9,N
44.27181,22.41708,330.6,0.39,0.36,2025-06-08,1123,N21,VIIRS,n,2.0NRT,302.36,2.49,D
44.6717,20.95262,333.35,0.39,0.36,2025-06-08,1123,N21,VIIRS,l,2.0NRT,306.97,5.3,D
44.07926,22.10459,301.63,0.35,0.57,2025-06-09,0120,N21,VIIRS,n,2.0NRT,289.47,1.28,N
43.30661,19.91194,337.32,0.39,0.44,2025-06-09,1104,N21,VIIRS,n,2.0NRT,293.28,4.79,D
45.06202,19.19344,339.97,0.39,0.44,2025-06-09,1104,N21,VIIRS,n,2.0NRT,302.32,6.2,D
45.26831,19.85674,333.94,0.54,0.42,2025-06-09,1104,N21,VIIRS,l,2.0NRT,304.37,5.16,D
44.56705,22.56071,299.82,0.64,0.72,2025-06-09,2320,N21,VIIRS,n,2.0NRT,285.82,2.2,N
44.56643,22.56386,299.5,0.43,0.46,2025-06-10,0102,N21,VIIRS,n,2.0NRT,285.95,0.82,N
44.60043,20.97701,312.84,0.55,0.43,2025-06-10,0102,N21,VIIRS,n,2.0NRT,285.3,1.59,N
44.59666,20.97539,297.85,0.55,0.43,2025-06-10,0102,N21,VIIRS,n,2.0NRT,283.49,1.59,N
45.04945,19.18763,355.62,0.4,0.6,2025-06-10,1225,N21,VIIRS,n,2.0NRT,303.74,6.74,D
44.59908,20.9762,319.45,0.4,0.37,2025-06-11,0041,N21,VIIRS,n,2.0NRT,290.24,0.92,N
44.5958,20.97509,298.23,0.4,0.37,2025-06-11,0041,N21,VIIRS,n,2.0NRT,288,0.92,N
44.01149,19.88707,308.7,0.39,0.36,2025-06-11,0041,N21,VIIRS,n,2.0NRT,285.66,1.32,N
44.603,20.96981,301.89,0.42,0.38,2025-06-12,0024,N21,VIIRS,n,2.0NRT,289.62,1.01,N
44.59823,20.97944,299.55,0.42,0.38,2025-06-12,0024,N21,VIIRS,n,2.0NRT,288.1,1.06,N
44.07943,22.10652,306.05,0.4,0.37,2025-06-12,0024,N21,VIIRS,n,2.0NRT,289.84,0.87,N
43.91021,21.50993,301.4,0.4,0.37,2025-06-12,0024,N21,VIIRS,n,2.0NRT,287.67,0.44,N
44.01152,19.89075,300.01,0.45,0.39,2025-06-12,0024,N21,VIIRS,n,2.0NRT,284.45,1.02,N
43.71694,21.38983,328.5,0.75,0.77,2025-06-12,1009,N21,VIIRS,n,2.0NRT,294.06,5.43,D
43.72029,21.39224,334.53,0.52,0.42,2025-06-12,1147,N21,VIIRS,n,2.0NRT,304.71,7.13,D
44.52924,20.53412,331.79,0.49,0.4,2025-06-12,1147,N21,VIIRS,n,2.0NRT,299.18,4.64,D
45.01302,20.6259,332.28,0.5,0.41,2025-06-12,1147,N21,VIIRS,l,2.0NRT,304.78,2.23,D
45.20637,20.64237,334.97,0.5,0.41,2025-06-12,1147,N21,VIIRS,n,2.0NRT,305.13,4.54,D
44.86654,20.0715,300.85,0.47,0.48,2025-06-13,0003,N21,VIIRS,n,2.0NRT,285.46,0.75,N
44.71421,21.51857,297.11,0.4,0.44,2025-06-13,0003,N21,VIIRS,n,2.0NRT,283.79,0.34,N
44.0792,22.10691,301.46,0.56,0.43,2025-06-13,0003,N21,VIIRS,n,2.0NRT,288.52,1.07,N
43.90693,21.50948,299.55,0.39,0.44,2025-06-13,0003,N21,VIIRS,n,2.0NRT,285.64,0.66,N
44.01017,19.88778,296.19,0.47,0.48,2025-06-13,0003,N21,VIIRS,n,2.0NRT,284.77,0.69,N
42.61794,21.75414,296.07,0.56,0.43,2025-06-13,0005,N21,VIIRS,n,2.0NRT,284.65,0.71,N
42.61848,21.75263,299.31,0.56,0.43,2025-06-13,0005,N21,VIIRS,n,2.0NRT,284.91,1.03,N
42.45503,21.7932,295.22,0.55,0.43,2025-06-13,0005,N21,VIIRS,n,2.0NRT,283.33,0.36,N
42.6184,21.75353,308.42,0.75,0.77,2025-06-13,0145,N21,VIIRS,n,2.0NRT,283.51,3.11,N
42.6158,21.75716,330.54,0.39,0.36,2025-06-13,1128,N21,VIIRS,n,2.0NRT,297.35,6.48,D
42.61909,21.75628,339.91,0.39,0.36,2025-06-13,1128,N21,VIIRS,n,2.0NRT,303.27,6.48,D
45.89776,20.10313,298.88,0.41,0.61,2025-06-13,2346,N21,VIIRS,n,2.0NRT,283.63,0.86,N
44.72435,20.54213,305.01,0.38,0.59,2025-06-13,2346,N21,VIIRS,n,2.0NRT,283.31,1.25,N
44.01074,19.88813,295.06,0.41,0.61,2025-06-13,2346,N21,VIIRS,n,2.0NRT,283.53,0.5,N
43.90714,21.50904,296.65,0.34,0.56,2025-06-13,2346,N21,VIIRS,n,2.0NRT,285.33,0.59,N
42.6145,21.75721,312.62,0.32,0.55,2025-06-13,2346,N21,VIIRS,n,2.0NRT,284.85,1.1,N
44.59803,20.97514,318.15,0.36,0.57,2025-06-14,0126,N21,VIIRS,n,2.0NRT,286.14,1.47,N
44.59686,20.97935,296.74,0.36,0.57,2025-06-14,0126,N21,VIIRS,n,2.0NRT,285.22,1.47,N
44.07781,22.10394,300.15,0.42,0.61,2025-06-14,0126,N21,VIIRS,n,2.0NRT,286.43,1.24,N
44.07818,22.10397,300.65,0.42,0.61,2025-06-14,0126,N21,VIIRS,n,2.0NRT,286.48,1.2,N
42.73439,21.50949,326.83,0.45,0.39,2025-06-14,1110,N21,VIIRS,n,2.0NRT,295.01,3.16,D
44.59961,20.9787,337.76,0.44,0.39,2025-06-14,1110,N21,VIIRS,n,2.0NRT,310.74,5.09,D
44.92196,20.55587,335.46,0.45,0.39,2025-06-14,1110,N21,VIIRS,l,2.0NRT,307.88,3.89,D
44.6011,20.97753,307.43,0.43,0.46,2025-06-15,0107,N21,VIIRS,n,2.0NRT,286.59,1.31,N
44.59709,20.97568,296.44,0.43,0.46,2025-06-15,0107,N21,VIIRS,n,2.0NRT,285.35,0.57,N
44.0105,19.89,295.3,0.4,0.44,2025-06-15,0107,N21,VIIRS,n,2.0NRT,282.95,1.42,N
44.00951,19.88803,306.85,0.4,0.44,2025-06-15,0107,N21,VIIRS,n,2.0NRT,283.68,0.54,N
43.13565,21.00633,325.52,0.5,0.49,2025-06-15,1051,N21,VIIRS,n,2.0NRT,294.97,3.01,D
45.09028,20.98027,307.77,0.42,0.38,2025-06-16,0048,N21,VIIRS,n,2.0NRT,285.16,0.67,N
44.60265,20.97062,309.6,0.43,0.38,2025-06-16,0048,N21,VIIRS,n,2.0NRT,289.39,1.28,N
45.05365,19.18623,297.58,0.39,0.36,2025-06-16,0048,N21,VIIRS,n,2.0NRT,286.83,0.33,N
44.59828,20.97462,301.85,0.43,0.38,2025-06-16,0048,N21,VIIRS,n,2.0NRT,287.72,1.02,N
43.90796,21.5126,298.08,0.45,0.39,2025-06-16,0050,N21,VIIRS,n,2.0NRT,285.09,0.82,N
44.01089,19.88794,309.92,0.41,0.37,2025-06-16,0050,N21,VIIRS,n,2.0NRT,285.95,1.15,N
44.88869,20.77943,306.08,0.4,0.37,2025-06-17,0030,N21,VIIRS,n,2.0NRT,270.36,1.88,N
45.05914,19.19063,298.65,0.43,0.38,2025-06-17,0030,N21,VIIRS,n,2.0NRT,285.94,0.55,N
44.6546,21.97762,301.52,0.38,0.36,2025-06-17,0030,N21,VIIRS,n,2.0NRT,287.93,0.75,N
44.97531,19.64698,298.74,0.42,0.37,2025-06-17,0030,N21,VIIRS,n,2.0NRT,287.78,0.43,N
44.56146,19.67287,297.83,0.41,0.37,2025-06-17,0030,N21,VIIRS,n,2.0NRT,285.01,0.47,N
44.08062,22.10256,306.58,0.38,0.36,2025-06-17,0030,N21,VIIRS,n,2.0NRT,291.31,0.85,N
43.90824,21.50938,302.46,0.39,0.36,2025-06-17,0030,N21,VIIRS,n,2.0NRT,290.78,0.55,N
44.01048,19.88588,304.84,0.41,0.37,2025-06-17,0030,N21,VIIRS,n,2.0NRT,286.02,0.75,N
44.88708,20.78263,327.11,0.62,0.72,2025-06-17,1013,N21,VIIRS,n,2.0NRT,290.59,4.52,D
44.88676,20.78081,325.94,0.62,0.72,2025-06-17,1013,N21,VIIRS,n,2.0NRT,290.59,4.9,D
44.88646,20.78026,341.81,0.39,0.44,2025-06-17,1155,N21,VIIRS,n,2.0NRT,302.76,7.42,D
45.48046,19.2574,303.96,0.44,0.46,2025-06-18,0009,N21,VIIRS,n,2.0NRT,286.66,1.66,N
45.47999,19.26302,301.08,0.44,0.46,2025-06-18,0009,N21,VIIRS,n,2.0NRT,286.57,1.87,N
45.47622,19.25669,297.29,0.44,0.46,2025-06-18,0009,N21,VIIRS,n,2.0NRT,286.54,1.39,N
45.47575,19.26232,297.1,0.44,0.46,2025-06-18,0009,N21,VIIRS,n,2.0NRT,286.68,1.48,N
44.94078,21.3047,300.42,0.53,0.42,2025-06-18,0009,N21,VIIRS,n,2.0NRT,288.42,0.53,N
44.88971,20.77836,299.61,0.56,0.43,2025-06-18,0009,N21,VIIRS,n,2.0NRT,287.46,0.86,N
44.60386,20.96821,299.41,0.54,0.42,2025-06-18,0009,N21,VIIRS,n,2.0NRT,288.8,0.87,N
43.90758,21.5107,298.12,0.51,0.41,2025-06-18,0011,N21,VIIRS,n,2.0NRT,288.09,0.78,N
43.223,21.77391,321.36,0.49,0.4,2025-06-18,0011,N21,VIIRS,n,2.0NRT,288.01,3.02,N
44.07836,22.10379,302.28,0.53,0.5,2025-06-18,2352,N21,VIIRS,n,2.0NRT,289.88,1.49,N
44.07792,22.10393,301.15,0.5,0.65,2025-06-19,0132,N21,VIIRS,n,2.0NRT,288.12,1.14,N
