geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,adresa,geometry
SRBRGI8101050,ЛУКОИЛ Бачка Топола,LUKOIL Bačka Topola,"8114","1","80071",2021/01/21 09:58:26+01,Маршала Тита бб,POINT(393525.0585000003 5073472.02)
SRBRGI8101051,ЛУКОИЛ Кањижа,LUKOIL Kanjiža,"8114","1","80195",2021/01/21 09:58:26+01,Алеја кестенова 88,POINT(425944.81659999955 5101053.524499999)
SRBRGI8101052,ЛУКОИЛ Шабачки пут,LUKOIL Šabački put,"8114","1","70734",2021/01/21 09:58:26+01,Шабачки пут бб,POINT(359546.7571999999 4934250.114499999)
SRBRGI8101053,ЛУКОИЛ Врање 1,LUKOIL Vranje 1,"8114","1","70432",2021/01/21 09:58:26+01,Париске комуне бб,POINT(574636.2890999997 4710953.276699999)
SRBRGI8101054,ЛУКОИЛ Зрењанин,LUKOIL Zrenjanin,"8114","1","80152",2021/01/21 09:58:26+01,Новосадски пут бб,POINT(449415.65249999985 5025379.107799999)
SRBRGI8101055,ЛУКОИЛ Медијана,LUKOIL Medijana,"8114","1","71331",2021/01/21 09:58:26+01,Булевар св. Цара Константина бб,POINT(575991.1109999996 4795636.4143)
SRBRGI8101056,ЛУКОИЛ Нова Пазова,LUKOIL Nova Pazova,"8114","1","80420",2021/01/21 09:58:26+01,Николе Тесле бб,POINT(437782.72030000016 4977620.1785)
SRBRGI8101057,ЛУКОИЛ Локве,LUKOIL Lokve,"8114","1","80039",2021/01/21 09:58:26+01,Маршала Тита бб,POINT(502390.9358000001 4999903.418199999)
SRBRGI8101058,ЛУКОИЛ Тутин,LUKOIL Tutin,"8114","1","71188",2021/01/21 09:58:26+01,Омладинска 1,POINT(445949.0547000002 4760006.3411)
SRBRGI8101059,ЛУКОИЛ Смедерево,LUKOIL Smederevo,"8114","1","71099",2021/01/21 09:58:26+01,16. октобра 86,POINT(495057.5706000002 4944726.096999999)
SRBRGI8101060,ЛУКОИЛ Пожаревац,LUKOIL Požarevac,"8114","1","70947",2021/01/21 09:58:26+01,Боже Димитријевића бб,POINT(515117.7391999997 4941394.9252)
SRBRGI8101061,ЛУКОИЛ Грдица 1,LUKOIL Grdica 1,"8114","1","70653",2021/01/21 09:58:26+01,Грдичка бб,POINT(473188.0482000001 4842941.0174)
SRBRGI8101062,ЛУКОИЛ Тител,LUKOIL Titel,"8114","1","80454",2021/01/21 09:58:26+01,Главна бб,POINT(445921.2264999999 5005963.8445)
SRBRGI8101063,ЛУКОИЛ Бајина Башта,LUKOIL Bajina Bašta,"8114","1","70068",2021/01/21 09:58:26+01,Партизански пут бб,POINT(385125.84109999985 4869360.2316)
SRBRGI8101064,ЛУКОИЛ Рача,LUKOIL Rača,"8114","1","71013",2021/01/21 09:58:26+01,Цара Лазара 1,POINT(498699.19020000007 4896733.7530000005)
SRBRGI8101065,ЛУКОИЛ Ћићевац,LUKOIL Ćićevac,"8114","1","71196",2021/01/21 09:58:26+01,Карађорђева 138,POINT(535462.0621999996 4840498.5134)
SRBRGI8101066,ЛУКОИЛ Јагодина аутобуска,LUKOIL Jagodina autobuska,"8114","1","71048",2021/01/21 09:58:26+01,Кнеза Милоша бб,POINT(521433.56290000025 4869608.0831)
SRBRGI8101067,ЛУКОИЛ Ћуприја аутопут,LUKOIL Ćuprija autoput,"8114","1","71200",2021/01/21 09:58:26+01,Цара Лазара бб,POINT(531124.5450999998 4864824.2261)
SRBRGI8101068,ЛУКОИЛ Јастребац,LUKOIL Jastrebac,"8114","1","71315",2021/01/21 09:58:26+01,12. фебруар бб,POINT(571121.4243000001 4798684.0178)
SRBRGI8101069,ЛУКОИЛ Ново Милошево,LUKOIL Novo Miloševo,"8114","1","80268",2021/01/21 09:58:26+01,Маршала Тита бб,POINT(445504.3624 5062255.454299999)
SRBRGI8101070,ЛУКОИЛ Салаковац,LUKOIL Salakovac,"8114","1","70807",2021/01/21 09:58:26+01,Маршала Тита 11,POINT(521364.1813000003 4937176.814200001)
SRBRGI8101071,ЛУКОИЛ Црепаја,LUKOIL Crepaja,"8114","1","80217",2021/01/21 09:58:26+01,Трг ослобођења бб,POINT(471387.51999999955 4983945.9771)
SRBRGI8101072,ЛУКОИЛ Михајловац 1,LUKOIL Mihajlovac 1,"8114","1","71099",2021/01/21 09:58:26+01,Аутопут Ниш - Београд,POINT(498913.97950000037 4932901.5822)
SRBRGI8101073,ЛУКОИЛ Михајловац 2,LUKOIL Mihajlovac 2,"8114","1","71099",2021/01/21 09:58:26+01,Аутопут Београд - Ниш,POINT(498733.72750000004 4933191.9827)
SRBRGI8101074,ЛУКОИЛ Аеродром,LUKOIL Aerodrom,"8114","1","71293",2021/01/21 09:58:26+01,Аутопут Београд - Загреб 296,POINT(442014.4671 4964859.2533)
SRBRGI8101075,ЛУКОИЛ Алексинац - Аутопут,LUKOIL Aleksinac - Autoput,"8114","1","70025",2021/01/21 09:58:26+01,,POINT(557251.2564000003 4819926.5561)
SRBRGI8101076,ЛУКОИЛ Бор,LUKOIL Bor,"8114","1","70327",2021/01/21 09:58:26+01,Наде Димић 14А,POINT(589304.8724999996 4878847.1623)
SRBRGI8101077,ЛУКОИЛ Ваљево 1,LUKOIL Valjevo 1,"8114","1","70360",2021/01/21 09:58:26+01,Владике Николаја бб,POINT(411317.46970000025 4902973.305400001)
SRBRGI8101078,ЛУКОИЛ Бистрица,LUKOIL Bistrica,"8114","1","80284",2021/01/21 09:58:26+01,Булевар војводе Степе бб,POINT(406273.3627000004 5012453.6416)
SRBRGI8101121,Кнез Петрол Алексинац,Knez Petrol Aleksinac,"8114","1","70025",2021/01/21 09:58:26+01,,POINT(557633.1596999997 4819831.2433)
SRBRGI8101122,Кнез Петрол Ваљево 1,Knez Petrol Valjevo 1,"8114","1","70360",2021/01/21 09:58:26+01,Бирчанинова 155,POINT(409807.89940000046 4901479.2414)
SRBRGI8101123,Кнез Петрол Земун кривина,Knez Petrol Zemun krivina,"8114","1","70157",2021/01/21 09:58:26+01,Пазовачки пут 20,POINT(450396.41390000004 4966198.643300001)
SRBRGI8101124,ЕКО Умка 2,EKO Umka 2,"8114","1","70254",2021/01/21 09:58:26+01,Нови Обреновачки пут бб,POINT(445577.74710000027 4948927.5758)
SRBRGI8101125,ЕКО Калуђерица,EKO Kaluđerica,"8114","1","70122",2021/01/21 09:58:26+01,Смедеревски пут бб,POINT(467190.02699999977 4955291.8632)
SRBRGI8101126,Еко Петрол,Eko Petrol,"8114","1","80403",2021/01/21 09:58:26+01,,POINT(391657.1564999996 4981021.3906)
SRBRGI8101127,ЕКО Бачки Петровац,EKO Bački Petrovac,"8114","1","80080",2021/01/21 09:58:26+01,Новосадска бб,POINT(391121.64470000006 5022875.523499999)
SRBRGI8101128,ЕКО Келебија 2,EKO Kelebija 2,"8114","1","80438",2021/01/21 09:58:26+01,Пут Едварда Кардеља 435А,POINT(389483.0077999998 5112683.1894000005)
SRBRGI8101129,ЕКО Појате,EKO Pojate,"8114","1","71196",2021/01/21 09:58:26+01,Индустријска зона бб,POINT(535799.9242000002 4843945.58)
SRBRGI8101130,ЕКО Краљево 2,EKO Kraljevo 2,"8114","1","70653",2021/01/21 09:58:26+01,Лађевци 85А,POINT(468902.73699999973 4851267.029200001)
SRBRGI8101131,ЕКО Жедник 2,EKO Žednik 2,"8114","1","80438",2021/01/21 09:58:26+01,Аутопут Београд - Суботица,POINT(400160.9149000002 5091260.652899999)
SRBRGI8101132,ЕКО Младеновац,EKO Mladenovac,"8114","1","70173",2021/01/21 09:58:26+01,Браће Баџак 15А,POINT(475126.0376000004 4921360.866599999)
SRBRGI8101133,ЕКО Горњи Милановац,EKO Gornji Milanovac,"8114","1","70483",2021/01/21 09:58:26+01,Насеље Парац 112А,POINT(457907.8125 4875544.9749)
SRBRGI8101134,ЕКО Зајечар 1,EKO Zaječar 1,"8114","1","70556",2021/01/21 09:58:26+01,Хајдук Вељкова бб,POINT(603487.6605000002 4862521.2104)
SRBRGI8101135,ЕКО Зајечар 2,EKO Zaječar 2,"8114","1","70556",2021/01/21 09:58:26+01,Неготински пут бб,POINT(604403.392 4865086.1938000005)
SRBRGI8101136,ЕКО Крушевац,EKO Kruševac,"8114","1","70670",2021/01/21 09:58:26+01,Цара Лазара 280,POINT(524827.1217 4825674.4813)
SRBRGI8101137,ЕКО Ниш 1,EKO Niš 1,"8114","1","71315",2021/01/21 09:58:26+01,Булевар Николе Тесле 40,POINT(572017.4910000004 4798798.2632)
SRBRGI8101138,ЕКО Ниш 3,EKO Niš 3,"8114","1","71323",2021/01/21 09:58:26+01,Димитрија Туцовића 183,POINT(568438.9554000003 4796320.2108)
SRBRGI8101139,ЕКО Врчин 2,EKO Vrčin 2,"8114","1","70122",2021/01/21 09:58:26+01,Аутопут за Ниш 23,POINT(467096.50289999973 4948744.203600001)
SRBRGI8101140,ЕКО Сопот,EKO Sopot,"8114","1","70238",2021/01/21 09:58:26+01,Аутопут Београд - Ниш,POINT(472111.1480999999 4935729.1219)
SRBRGI8101141,ЕКО Прокупље,EKO Prokuplje,"8114","1","70998",2021/01/21 09:58:26+01,Вука Стефановића Караџића бб,POINT(549146.9203000003 4787715.857899999)
SRBRGI8101142,ЕКО Пирот,EKO Pirot,"8114","1","70939",2021/01/21 09:58:26+01,Николе Пашића 220,POINT(628846.7520000003 4780954.368899999)
SRBRGI8101143,ЕКО Лесковац,EKO Leskovac,"8114","1","70726",2021/01/21 09:58:26+01,Ђорђа Стаменковића ББ,POINT(578035.7232999997 4761694.1073)
SRBRGI8101144,ЕКО Врање,EKO Vranje,"8114","1","70432",2021/01/21 09:58:26+01,Радничка 6,POINT(574731.9223999996 4710431.8225)
SRBRGI8101145,ЕКО Ћуприја 2,EKO Ćuprija 2,"8114","1","71200",2021/01/21 09:58:26+01,Аутопут Ниш-Београд,POINT(529196.1725000003 4866900.1742)
SRBRGI8101146,ЕКО Ћуприја 1,EKO Ćuprija 1,"8114","1","71200",2021/01/21 09:58:26+01,Аутопут Београд-Ниш,POINT(529422.9731000001 4866701.4596)
SRBRGI8101147,ЕКО Ниш 2,EKO Niš 2,"8114","1","71307",2021/01/21 09:58:26+01,Аутопут Ниш - Димитровград,POINT(575210.4748999998 4799139.813100001)
SRBRGI8101148,ЕКО Зајечар 3,EKO Zaječar 3,"8114","1","70327",2021/01/21 09:58:26+01,Неготински пут бб,POINT(586771.4687999999 4863440.8747000005)
SRBRGI8101149,ЕКО Таванкут,EKO Tavankut,"8114","1","80438",2021/01/21 09:58:26+01,Капоња бб,POINT(386256.1769000003 5097020.6589)
SRBRGI8101150,ЕКО Борча,EKO Borča,"8114","1","70203",2021/01/21 09:58:26+01,Зрењанински пут бб,POINT(457696.6283999998 4969902.8378)
SRBRGI8101151,ЕКО Жедник 1,EKO Žednik 1,"8114","1","80438",2021/01/21 09:58:26+01,Аутопут Суботица - Београд,POINT(400064.83939999994 5091216.3993999995)
SRBRGI8101152,ЕКО Келебија 1,EKO Kelebija 1,"8114","1","80438",2021/01/21 09:58:26+01,Пут Едварда Кардеља 146А,POINT(391551.18769999966 5110191.476)
SRBRGI8101153,ЕКО Суботица,EKO Subotica,"8114","1","80438",2021/01/21 09:58:26+01,Сегедински пут 76А,POINT(398756.5876000002 5106021.8355)
SRBRGI8101154,ЕКО Панчевачки пут,EKO Pančevački put,"8114","1","70203",2021/01/21 09:58:26+01,Панчевачки пут 81,POINT(462902.47009999957 4966522.343)
SRBRGI8101155,ЕКО Шабац,EKO Šabac,"8114","1","71269",2021/01/21 09:58:26+01,Светог Саве 82А,POINT(394200.0883999998 4957989.8443)
SRBRGI8101156,ЕКО Чачак 1,EKO Čačak 1,"8114","1","71242",2021/01/21 09:58:26+01,Булевар ослободилаца Чачка 103,POINT(448150.22300000023 4858538.355900001)
SRBRGI8101157,ЕКО Мачкат,EKO Mačkat,"8114","1","71234",2021/01/21 09:58:26+01,Мачкат 266,POINT(401115.42310000025 4849771.990800001)
SRBRGI8101158,ЕКО Чачак 2,EKO Čačak 2,"8114","1","71242",2021/01/21 09:58:26+01,Булевар ослободилаца Чачка78Б,POINT(448337.5937000001 4858499.032)
SRBRGI8101159,ЕКО Краљево,EKO Kraljevo,"8114","1","70653",2021/01/21 09:58:26+01,Душана Поповића 43А,POINT(475430.9423000002 4839973.1581)
SRBRGI8101160,ЕКО Крагујевац,EKO Kragujevac,"8114","1","70645",2021/01/21 09:58:26+01,Војводе Путника бб,POINT(492788.2150999997 4874261.6839000005)
SRBRGI8101161,ЕКО Бистрица 1,EKO Bistrica 1,"8114","1","80284",2021/01/21 09:58:26+01,Булевар Војводе Степе 42,POINT(405707.1281000003 5012183.0933)
SRBRGI8101162,ЕКО Палилула,EKO Palilula,"8114","1","70203",2021/01/21 09:58:26+01,Драгослава Срејовића 2А,POINT(459581.3800999997 4962603.9758)
SRBRGI8101163,ЕКО Пупин,EKO Pupin,"8114","1","70181",2021/01/21 09:58:26+01,Булевар Михајла Пупина 8Б,POINT(454277.61149999965 4963221.630799999)
SRBRGI8101164,ЕКО Кикинда,EKO Kikinda,"8114","1","80209",2021/01/21 09:58:26+01,Светосавска 76,POINT(457839.3208999997 5074789.2655)
SRBRGI8101165,ЕКО Зрењанин,EKO Zrenjanin,"8114","1","80152",2021/01/21 09:58:26+01,Булевар Милутина Миланковића 1,POINT(451764.9243999999 5025718.8533)
SRBRGI8101166,ЕКО Нови Сад 3,EKO Novi Sad 3,"8114","1","80284",2021/01/21 09:58:26+01,Пут Шајкашког одреда бб,POINT(409352.04580000043 5013611.8357)
SRBRGI8101167,ЕКО Бистрица 2,EKO Bistrica 2,"8114","1","80284",2021/01/21 09:58:26+01,Булевар Војводе Степе бб,POINT(405741.20999999996 5012148.579500001)
SRBRGI8101168,ЕКО Лозница,EKO Loznica,"8114","1","70734",2021/01/21 09:58:26+01,Војводе Путника 55,POINT(359946.3881000001 4932938.7225)
SRBRGI8101169,ЕКО Обреновац,EKO Obrenovac,"8114","1","70190",2021/01/21 09:58:26+01,Обреновачки пут бб,POINT(437250.4285000004 4944956.0857)
SRBRGI8101170,ЕКО Бежанија,EKO Bežanija,"8114","1","70181",2021/01/21 09:58:26+01,Партизанске авијације 144а,POINT(450996.67260000017 4962404.408299999)
SRBRGI8101171,ЕКО Гагарин,EKO Gagarin,"8114","1","70181",2021/01/21 09:58:26+01,Јурија Гагарина 25Г,POINT(452632.8672000002 4961368.8215)
SRBRGI8101172,ЕКО Видиковац,EKO Vidikovac,"8114","1","70211",2021/01/21 09:58:26+01,Кнеза Вишеслава 57,POINT(454877.0477 4955000.609200001)
SRBRGI8101173,ЕКО Умка 1,EKO Umka 1,"8114","1","70254",2021/01/21 09:58:26+01,Нови Обреновачки пут бб,POINT(445597.3822999997 4948872.2995)
SRBRGI8101174,МОЛ Стари Бановци,MOL Stari Banovci,"8114","1","80420",2021/01/21 09:58:26+01,Миленка Певца бб,POINT(443340.9489000002 4981179.978499999)
SRBRGI8101175,МОЛ Крушевац 1,MOL Kruševac 1,"8114","1","70670",2021/01/21 09:58:26+01,Кнеза Милоша 2,POINT(527666.9058999997 4824157.9564)
SRBRGI8101176,МОЛ Лесковац,MOL Leskovac,"8114","1","70726",2021/01/21 09:58:26+01,Краља Петра I 13,POINT(578338.5336999996 4760363.4552)
SRBRGI8101177,МОЛ Каћ,MOL Kać,"8114","1","80284",2021/01/21 09:58:26+01,Зрењанински пут 165,POINT(413348.4375 5017839.6929)
SRBRGI8101178,МОЛ Нови Сад 2,MOL Novi Sad 2,"8114","1","80284",2021/01/21 09:58:26+01,Хаџи Рувимова 1,POINT(407338.4900000002 5012286.587300001)
SRBRGI8101179,МОЛ Пожега,MOL Požega,"8114","1","70955",2021/01/21 09:58:26+01,Ариљска рампа бб,POINT(422970.85250000004 4853481.476)
SRBRGI8101180,МОЛ Обреновац,MOL Obrenovac,"8114","1","70190",2021/01/21 09:58:26+01,Војводе Мишића 36Б,POINT(435416.51219999976 4944737.793400001)
SRBRGI8101181,МОЛ Ниш,MOL Niš,"8114","1","71315",2021/01/21 09:58:26+01,Булевар 12. фебруар бб,POINT(571456.3902000003 4798191.138800001)
SRBRGI8101182,МОЛ Бачка Паланка,MOL Bačka Palanka,"8114","1","80063",2021/01/21 09:58:26+01,Новосадски пут бб,POINT(376736.9782999996 5011730.8335)
SRBRGI8101183,МОЛ Сремска Митровица,MOL Sremska Mitrovica,"8114","1","80403",2021/01/21 09:58:26+01,Милоша Обилића 143А,POINT(389386.7692 4981674.9429)
SRBRGI8101184,ЕКО Ибарска,EKO Ibarska,"8114","1","70092",2021/01/21 09:58:26+01,Ибарска магистрала бб,POINT(444772.52240000013 4935483.888900001)
SRBRGI8101185,ЕКО Пожаревац,EKO Požarevac,"8114","1","70947",2021/01/21 09:58:26+01,Моше Пијаде бб,POINT(515039.2539999997 4940249.548699999)
SRBRGI8101186,ЕКО Нови Београд,EKO Novi Beograd,"8114","1","70181",2021/01/21 09:58:26+01,Тошин бунар бб,POINT(451707.99590000045 4962323.3456999995)
SRBRGI8101187,ЕКО Велико Градиште,EKO Veliko Gradište,"8114","1","70394",2021/01/21 09:58:26+01,Пожаревачки пут бб,POINT(539333.4864999996 4955547.192399999)
SRBRGI8101188,ОМВ Крушевац ,OMV Kruševac,"8114","1","70670",2021/01/21 09:58:26+01,"14. октобра бб
",POINT(525445.5780999996 4826992.310699999)
SRBRGI8101189,ОМВ Шабац,OMV Šabac,"8114","1","71269",2021/01/21 09:58:26+01,"Магистрални пут М-19, Обилазни пут",POINT(396215.98369999975 4954894.6536)
SRBRGI8101190,ОМВ Лапово север,OMV Lapovo sever,"8114","1","71277",2021/01/21 09:58:26+01,Аутопут Ниш - Београд,POINT(508605.3032999998 4894652.3762)
SRBRGI8101191,ОМВ Ниш 2,OMV Niš 2,"8114","1","71315",2021/01/21 09:58:26+01,Булевар 12. фебруара бб,POINT(570940.6897999998 4798845.9701000005)
SRBRGI8101192,ОМВ Краљево 2,OMV Kraljevo 2,"8114","1","70653",2021/01/21 09:58:26+01,Магистрални пут М-22,POINT(469129.78280000016 4839930.4508)
SRBRGI8101193,ОМВ Чачак,OMV Čačak,"8114","1","71242",2021/01/21 09:58:26+01,Булевар ослободилаца Чачка бб,POINT(449634.24909999967 4858836.2918)
SRBRGI8101194,ОМВ Ниш 4,OMV Niš 4,"8114","1","71331",2021/01/21 09:58:26+01,Византијски булевар бб,POINT(575060.8876999998 4797211.864399999)
SRBRGI8101195,ОМВ Горњи Милановац,OMV Gornji Milanovac,"8114","1","70483",2021/01/21 09:58:26+01,Ибарска магистрала М-22,POINT(456930.46360000037 4873232.323000001)
SRBRGI8101196,ОМВ Ћелије,OMV Ćelije,"8114","1","70700",2021/01/21 09:58:26+01,Раскрсница М22 и М4,POINT(435978.51439999975 4912775.707800001)
SRBRGI8101197,ОМВ Трстеник,OMV Trstenik,"8114","1","71170",2021/01/21 09:58:26+01,Магистрални пут М-5 бб,POINT(501218.3864000002 4828957.307600001)
SRBRGI8101198,ОМВ Јагодина,OMV Jagodina,"8114","1","71048",2021/01/21 09:58:26+01,Књегиње Милице бб,POINT(522344.50069999974 4867962.707599999)
SRBRGI8101199,ОМВ Нови Сад,OMV Novi Sad,"8114","1","80284",2021/01/21 09:58:26+01,Партизанска бб,POINT(407811.1032999996 5013517.090399999)
SRBRGI8101200,ОМВ Смедеревска Паланка,OMV Smederevska Palanka,"8114","1","71102",2021/01/21 09:58:26+01,Главашева 78,POINT(495427.77020000014 4913033.512800001)
SRBRGI8101201,ОМВ Бољевац,OMV Boljevac,"8114","1","70319",2021/01/21 09:58:26+01,Изворски пут бб,POINT(576129.7383000003 4853403.7796)
SRBRGI8101202,ОМВ Врбас,OMV Vrbas,"8114","1","80462",2021/01/21 09:58:26+01,Његошева бб,POINT(394399.7932000002 5046503.326199999)
SRBRGI8101203,ОМВ Лесковац,OMV Leskovac,"8114","1","70726",2021/01/21 09:58:26+01,Његошева бб,POINT(578463.8250000002 4760917.932399999)
SRBRGI8101204,ОМВ Зајечар,OMV Zaječar,"8114","1","70556",2021/01/21 09:58:26+01,Добривоја Радосављевића Бобија бб,POINT(601178.0586999999 4862708.6855)
SRBRGI8101079,ЛУКОИЛ Полом 1,LUKOIL Polom 1,"8114","1","70416",2021/01/21 09:58:26+01,,POINT(587376.9029000001 4725030.004799999)
SRBRGI8101080,Кнез Петрол Крагујевац 2,Knez Petrol Kragujevac 2,"8114","1","70645",2021/01/21 09:58:26+01,Саве Ковачевића бб,POINT(494256.3332000002 4874518.147)
SRBRGI8101081,Кнез Петрол Крушевац 2,Knez Petrol Kruševac 2,"8114","1","70670",2021/01/21 09:58:26+01,Јасички пут бб,POINT(525768.1770000001 4826332.480799999)
SRBRGI8101082,Кнез Петрол Крушевац - Циган Мала,Knez Petrol Kruševac - Cigan Mala,"8114","1","70670",2021/01/21 09:58:26+01,Благоја Паровића бб,POINT(527187.4857000001 4824102.2147)
SRBRGI8101083,Кнез Петрол Младеновац 2,Knez Petrol Mladenovac 2,"8114","1","70173",2021/01/21 09:58:26+01,Иве Андрића 2,POINT(474763.89279999956 4920725.094699999)
