geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI5100048,Грчка чука,Grčka čuka,"5101","5","71161",2017/02/01 01:00:00+01,POINT(593702.6765000001 4685473.8736000005)
SRBRGI5100049,Копљача,Kopljača,"5101","6","71161",2017/02/01 01:00:00+01,POINT(584270.9894000003 4687623.8202)
SRBRGI5100050,Чука,Čuka,"5101","5","71161",2017/02/01 01:00:00+01,POINT(582211.4576000003 4690863.820499999)
SRBRGI5100051,Зеленчев врх,Zelenčev vrh,"5101","6","71161",2017/02/01 01:00:00+01,POINT(591280.3340999996 4697241.085200001)
SRBRGI5100052,Смрдан,Smrdan,"5101","5","70351",2017/02/01 01:00:00+01,POINT(574602.3695999999 4689659.831700001)
SRBRGI5100053,Вучји камен,Vučji kamen,"5101","5","70963",2017/02/01 01:00:00+01,POINT(565816.5040999996 4684644.305600001)
SRBRGI5100054,Бели камен,Beli kamen,"5101","5","70351",2017/02/01 01:00:00+01,POINT(558370.6068000002 4703891.8016)
SRBRGI5100055,Мотина,Motina,"5101","6","70432",2017/02/01 01:00:00+01,POINT(584337.9517999999 4699995.751499999)
SRBRGI5100056,Патарица,Patarica,"5101","7","70335",2017/02/01 01:00:00+01,POINT(600146.9699999997 4704119.290899999)
SRBRGI5100057,Шипак,Šipak,"5101","5","70335",2017/02/01 01:00:00+01,POINT(604186.9008 4704400.8081)
SRBRGI5100058,Минтинички рид,Mintinički rid,"5101","5","70335",2017/02/01 01:00:00+01,POINT(615833.6178000001 4702786.581900001)
SRBRGI5100059,Оштра чука,Oštra čuka,"5101","5","70335",2017/02/01 01:00:00+01,POINT(607244.5471999999 4700514.635399999)
SRBRGI5100060,Просеченица,Prosečenica,"5101","5","71358",2017/02/01 01:00:00+01,POINT(596526.5195000004 4707773.2621)
SRBRGI5100061,Српска чука,Srpska čuka,"5101","6","71358",2017/02/01 01:00:00+01,POINT(592314.2121000001 4708898.4048)
SRBRGI5100062,Големи Кичер,Golemi Kičer,"5101","5","71358",2017/02/01 01:00:00+01,POINT(588322.2589999996 4710349.669500001)
SRBRGI5100063,Девојка,Devojka,"5101","5","71358",2017/02/01 01:00:00+01,POINT(588513.2884 4712136.183700001)
