geoidentifikator,name_1,name_2,localtype,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6000042,Горњи Таванкут,Gornji Tavankut,"6003","9","80438","804517","1097","2011",2017/02/01 01:00:00+01,POINT(380705.0820000004 5099708.1569)
SRBRGI6000043,Доњи Таванкут,Donji Tavankut,"6003","9","80438","804525","2327","2011",2017/02/01 01:00:00+01,POINT(383090.46970000025 5100665.7641)
SRBRGI6000044,Љутово,Ljutovo,"6003","6","80438","804550","1067","2011",2017/02/01 01:00:00+01,POINT(386001.9584999997 5102427.293299999)
SRBRGI6000045,Келебија,Kelebija,"6003","9","80438","804541","2142","2011",2017/02/01 01:00:00+01,POINT(390452.6891999999 5111600.8792)
SRBRGI6000046,Суботица,Subotica,"6001","9","80438","804614","97910","2011",2017/02/01 01:00:00+01,POINT(396773 5106004.9999)
SRBRGI6000047,Палић,Palić,"6002","9","80438","804592","7771","2011",2017/02/01 01:00:00+01,POINT(404031.7111999998 5106179.259)
SRBRGI6000048,Хајдуково,Hajdukovo,"6003","6","80438","804622","2313","2011",2017/02/01 01:00:00+01,POINT(408294.6281000003 5106876.965)
SRBRGI6000049,Ђала,Đala,"6003","9","80276","802646","796","2011",2017/02/01 01:00:00+01,POINT(431247.5349000003 5111658.5611000005)
SRBRGI6000050,Радојево,Radojevo,"6003","7","80250","802565","1056","2011",2017/02/01 01:00:00+01,POINT(483639.5373999998 5065708.901699999)
SRBRGI6000051,Марковићево,Markovićevo,"6003","5","80349","803421","160","2011",2017/02/01 01:00:00+01,POINT(502694.18570000026 5018421.645099999)
SRBRGI6000052,Милетићево,Miletićevo,"6003","7","80349","803430","497","2011",2017/02/01 01:00:00+01,POINT(505043.3024000004 5016877.0955)
SRBRGI6000053,Банатски Соколац,Banatski Sokolac,"6003","7","80349","803324","272","2011",2017/02/01 01:00:00+01,POINT(506463.28390000015 5012296.1391)
SRBRGI6000054,Купиник,Kupinik,"6003","7","80349","803391","238","2011",2017/02/01 01:00:00+01,POINT(510863.5736999996 5015154.085999999)
SRBRGI6000327,Гаре,Gare,"6003","5","70467","712523","39","2011",2017/02/01 01:00:00+01,POINT(587140.3154999996 4778597.2458)
SRBRGI6000055,Велики Гај,Veliki Gaj,"6003","7","80349","803367","560","2011",2017/02/01 01:00:00+01,POINT(513605.76389999967 5015260.266100001)
SRBRGI6000056,Ватин,Vatin,"6003","7","80128","801038","238","2011",2017/02/01 01:00:00+01,POINT(519121.42140000034 5008791.770099999)
SRBRGI6000057,Мали Жам,Mali Žam,"6003","5","80128","801160","283","2011",2017/02/01 01:00:00+01,POINT(526430.6381999999 5006376.4932)
SRBRGI6000058,Банатски Брестовац,Banatski Brestovac,"6003","9","80314","803057","3251","2011",2017/02/01 01:00:00+01,POINT(485090.8049999997 4952758.320800001)
SRBRGI6000059,Банатско Ново Село,Banatsko Novo Selo,"6003","9","80314","803065","6686","2011",2017/02/01 01:00:00+01,POINT(483024.5580000002 4981987.402000001)
