geoidentifikator,name_1,name_2,localtype,znacaj,matbro,registarskibroj,editdate,geometry
SRBRGI7100209,Стабла у Земунском парку,Stabla u Zemunskom parku,"7102","1","70157","581",2017/02/01 01:00:00+01,POINT(453369.3295999998 4965532.4012)
SRBRGI7100210,Стабла у Земунском парку,Stabla u Zemunskom parku,"7102","1","70157","581",2017/02/01 01:00:00+01,POINT(453356.6342000002 4965530.814300001)
SRBRGI7100211,Стабла у Земунском парку,Stabla u Zemunskom parku,"7102","1","70157","581",2017/02/01 01:00:00+01,POINT(453353.98900000006 4965537.9562)
SRBRGI7100212,Црни бор у Црноштици,Crni bor u Crnoštici,"7101","1","70335","731",2017/02/01 01:00:00+01,POINT(613100.7492000004 4703441.663699999)
SRBRGI7100213,Стари парк у Новом Кнежевцу,Stari park u Novom Kneževcu,"7013","1","80276",,2017/02/01 01:00:00+01,POINT(429548.16110000014 5099583.046599999)
SRBRGI7100214,Мешовити дрворед платана у Оџацима,Mešoviti drvored platana u Odžacima,"7013","1","80306",,2017/02/01 01:00:00+01,POINT(363527.5070000002 5041224.534700001)
SRBRGI7100215,Бела топола у Савином Селу,Bela topola u Savinom Selu,"7101","1","80462",,2017/02/01 01:00:00+01,POINT(384676.36209999956 5040475.258300001)
SRBRGI7100216,Дрворед храстова код Бачког Петровог Села,Drvored hrastova kod Bačkog Petrovog Sela,"7013","1","80110",,2017/02/01 01:00:00+01,POINT(428380.55420000013 5060301.1007)
SRBRGI7100217,Стари парк Соколац у Новом Бечеју,Stari park Sokolac u Novom Bečeju,"7013","1","80268",,2017/02/01 01:00:00+01,POINT(433204.2522 5046009.401799999)
SRBRGI7100218,Група стабала копривића у Српској Црњи,Grupa stabala koprivića u Srpskoj Crnji,"7013","1","80250",,2017/02/01 01:00:00+01,POINT(476632.1040000003 5065020.6128)
SRBRGI7100219,Стабло софоре у Новој Црњи,Stablo sofore u Novoj Crnji,"7101","1","80250",,2020/10/13 13:03:40+02,POINT(469254.18659999967 5057287.6457)
SRBRGI7100220,Храст лужњак у Новој Црњи,Hrast lužnjak u Novoj Crnji,"7101","1","80250",,2017/02/01 01:00:00+01,POINT(469225.4483000003 5057189)
SRBRGI7100221,Стабло шимшира у Плавни,Stablo šimšira u Plavni,"7101","1","80055",,2017/02/01 01:00:00+01,POINT(353031.4395000003 5022951.6383)
SRBRGI7100222,Жупанијски парк у Зрењанину,Županijski park u Zrenjaninu,"7013","1","80152",,2017/02/01 01:00:00+01,POINT(453030.4287999999 5025050.8763999995)
SRBRGI7100223,Вршачки парк,Vršački park,"7013","1","80128",,2017/02/01 01:00:00+01,POINT(524177.54949999973 4996228.246300001)
SRBRGI7100224,Дрворед дудова Вршац – Стража,Drvored dudova Vršac – Straža,"7013","1","80128",,2017/02/01 01:00:00+01,POINT(522177.24450000003 4987219.5636)
SRBRGI7100225,Дрворед дудова Загајица – Избиште,Drvored dudova Zagajica – Izbište,"7013","1","80128",,2017/02/01 01:00:00+01,POINT(516523.0881000003 4982464.5385)
SRBRGI7100226,Дрворед дудова Избиште – Уљма,Drvored dudova Izbište – Uljma,"7013","1","80128",,2017/02/01 01:00:00+01,POINT(513536.2770999996 4986504.818700001)
SRBRGI7100227,Дрворед платана у Сремској Митровици,Drvored platana u Sremskoj Mitrovici,"7013","1","80403",,2017/02/01 01:00:00+01,POINT(390428.47169999965 4981770.6094)
SRBRGI7100228,Храст Зеке Буљубаше,Hrast Zeke Buljubaše,"7101","1","80403",,2017/02/01 01:00:00+01,POINT(377345.0279000001 4978023.1096)
SRBRGI7100229,Парк института Сремска Каменица,Park instituta Sremska Kamenica,"7013","1","80284",,2017/02/01 01:00:00+01,POINT(410060.8821999999 5007734.5811)
SRBRGI7100230,Парк у Хоргошу,Park u Horgošu,"7013","1","80195",,2017/02/01 01:00:00+01,POINT(420718.2915000003 5110776.764799999)
SRBRGI7100231,Оскоруша код Хопова,Oskoruša kod Hopova,"7101","1","80187",,2017/02/01 01:00:00+01,POINT(409698.73950000014 4997403.025699999)
SRBRGI7100232,Пољопривредно добро Зобнатица,Poljoprivredno dobro Zobnatica,"7013","1","80071",,2017/02/01 01:00:00+01,POINT(393882.8816999998 5079547.194599999)
SRBRGI7100233,Парк на пољопривредном добру Криваја,Park na poljoprivrednom dobru Krivaja,"7013","1","80071",,2017/02/01 01:00:00+01,POINT(383717.86679999996 5076536.5342)
SRBRGI7100234,Крупнолисна липа у Великом Средишту,Krupnolisna lipa u Velikom Središtu,"7101","1","80128",,2017/02/01 01:00:00+01,POINT(531549.9911000002 5002899.707699999)
SRBRGI7100235,Стабло црвенолисне букве у Омољици,Stablo crvenolisne bukve u Omoljici,"7101","1","80314",,2017/02/01 01:00:00+01,POINT(479229.0800000001 4956080.971999999)
