geoidentifikator,name_1,name_2,localtype,znacaj,matbro,registarskibroj,editdate,geometry
SRBRGI7100099,Дрен у Вичи,Dren u Viči,"7101","1","70742","627",2017/02/01 01:00:00+01,POINT(440382.59979999997 4839705.1164)
SRBRGI7100100,Клен у Вичи,Klen u Viči,"7101","1","70742","628",2017/02/01 01:00:00+01,POINT(440482.6113999998 4840454.901000001)
SRBRGI7100101,Липа у Пшанику,Lipa u Pšaniku,"7101","1","70742","629",2017/02/01 01:00:00+01,POINT(440182.6118999999 4838635.440099999)
SRBRGI7100102,Храст у Дићима,Hrast u Dićima,"7101","1","70769","630",2017/02/01 01:00:00+01,POINT(441933.99729999993 4893014.344900001)
SRBRGI7100103,Платан у дворишту ОШ Милош Црњански,Platan u dvorištu OŠ Miloš Crnjanski,"7101","1","80284","631",2017/02/01 01:00:00+01,POINT(405561.1715000002 5011194.825200001)
SRBRGI7100104,Храст лужњак у Руњанима – Дебели грм,Hrast lužnjak u Runjanima – Debeli grm,"7101","1","70734","632",2017/02/01 01:00:00+01,POINT(362362.9802000001 4934043.4517)
SRBRGI7100105,Церови код Ђушиног гроба,Cerovi kod Đušinog groba,"7101","1","70262","633",2017/02/01 01:00:00+01,POINT(526901.5122999996 4802075.624)
SRBRGI7100106,Храст лужњак у селу Црна Бара,Hrast lužnjak u selu Crna Bara,"7101","1","70424","634",2017/02/01 01:00:00+01,POINT(594818.5724 4762716.673)
SRBRGI7100107,Новоселски брест запис,Novoselski brest zapis,"7101","1","71323","635",2017/02/01 01:00:00+01,POINT(566304.5802999996 4796776.9690000005)
SRBRGI7100108,Дуд запис у Медошевцу,Dud zapis u Medoševcu,"7101","1","71315","636",2017/02/01 01:00:00+01,POINT(570052.1140000001 4797321.331700001)
SRBRGI7100109,Павловићев храст у Доњој Трнави,Pavlovićev hrast u Donjoj Trnavi,"7101","1","71315","637",2017/02/01 01:00:00+01,POINT(562992.3609999996 4807842.7881000005)
SRBRGI7100110,Рајковићев храст,Rajkovićev hrast,"7101","1","71315","638",2017/02/01 01:00:00+01,POINT(563745.4018000001 4808542.9716)
SRBRGI7100111,Храст запис код Бањичког језера,Hrast zapis kod Banjičkog jezera,"7101","1","71307","639",2017/02/01 01:00:00+01,POINT(584927.9870999996 4800596.693499999)
SRBRGI7100112,Цер запис у Лесковику,Cer zapis u Leskoviku,"7101","1","71315","640",2017/02/01 01:00:00+01,POINT(572573.0231999997 4806533.805500001)
SRBRGI7100113,Бели дуд у Нишкој Бањи,Beli dud u Niškoj Banji,"7101","1","71285","641",2017/02/01 01:00:00+01,POINT(581753.3210000005 4793892.588500001)
SRBRGI7100114,Храст лужњак – Јованов запис,Hrast lužnjak – Jovanov zapis,"7101","1","70998","643",2017/02/01 01:00:00+01,POINT(540304.5687999995 4770474.777000001)
SRBRGI7100115,Здравињски цер запис,Zdravinjski cer zapis,"7101","1","70998","644",2017/02/01 01:00:00+01,POINT(531627.8742000004 4795557.6899999995)
SRBRGI7100116,Орах у Великој Плани код Прокупља,Orah u Velikoj Plani kod Prokuplja,"7101","1","70998","645",2017/02/01 01:00:00+01,POINT(535063.5713999998 4796717.244000001)
SRBRGI7100117,Дивља крушка – Брђанка,Divlja kruška – Brđanka,"7101","1","70645","646",2017/02/01 01:00:00+01,POINT(492783.0231999997 4868741.3782)
SRBRGI7100118,Стари храст у Годачици,Stari hrast u Godačici,"7101","1","70653","648",2017/02/01 01:00:00+01,POINT(488185.0724999998 4847899.886)
SRBRGI7100119,Богојевачки брест запис,Bogojevački brest zapis,"7101","1","70726","649",2017/02/01 01:00:00+01,POINT(578399.3054 4766976.499500001)
SRBRGI7100120,Топола у Губеревцу,Topola u Guberevcu,"7101","1","70726","650",2017/02/01 01:00:00+01,POINT(584302.6596999997 4756319.6436)
SRBRGI7100121,Кутлешки храст запис,Kutleški hrast zapis,"7101","1","70726","651",2017/02/01 01:00:00+01,POINT(569967.3798000002 4777040.7016)
SRBRGI7100122,Оскоруша у Великој Сејаници,Oskoruša u Velikoj Sejanici,"7101","1","70726","652",2017/02/01 01:00:00+01,POINT(590650.3519000001 4751456.334799999)
SRBRGI7100123,Фикус у Чачку,Fikus u Čačku,"7101","1","71242","653",2017/02/01 01:00:00+01,POINT(447706.0828 4860072.634199999)
SRBRGI7100124,Запис у Лесковику,Zapis u Leskoviku,"7101","1","71315","669",2017/02/01 01:00:00+01,POINT(572429.6239 4806546.7282)
SRBRGI7100125,Бела топола у Кукујевцима,Bela topola u Kukujevcima,"7101","1","80497","672",2017/02/01 01:00:00+01,POINT(369799.0077999998 4992749.881899999)
SRBRGI7100126,Два храста лужњака у Гибарцу,Dva hrasta lužnjaka u Gibarcu,"7101","1","80497","673",2017/02/01 01:00:00+01,POINT(363909.8367999997 4996216.2282)
SRBRGI7100127,Храст лужњак у Зрењанину,Hrast lužnjak u Zrenjaninu,"7101","1","80152","675",2017/02/01 01:00:00+01,POINT(453339.8443 5025325.341600001)
SRBRGI7100128,Бели дуд у Белом Блату,Beli dud u Belom Blatu,"7101","1","80152","676",2017/02/01 01:00:00+01,POINT(450841.42640000023 5013736.200999999)
SRBRGI7100129,Гојковића липа,Gojkovića lipa,"7101","1","71242","677",2017/02/01 01:00:00+01,POINT(457878.0050999997 4866176.4871)
SRBRGI7100130,Храст лужњак код платнаре,Hrast lužnjak kod platnare,"7101","1","71099","678",2020/10/27 14:30:20+01,POINT(493747.8650000002 4945645.793400001)
SRBRGI7100131,Кестен Ћурчина у Панчеву,Kesten Ćurčina u Pančevu,"7101","1","80314","679",2017/02/01 01:00:00+01,POINT(471534.80140000023 4968488.631999999)
SRBRGI7100132,Буква на Дедињу,Bukva na Dedinju,"7101","1","70220","685",2019/10/15 10:01:42+02,POINT(456450.2739000004 4959262.3605)
SRBRGI7100133,Храст цара Лазара,Hrast cara Lazara,"7101","1","70688","687",2017/02/01 01:00:00+01,POINT(519021.8783 4778117.361099999)
SRBRGI7100134,Храст Расина,Hrast Rasina,"7101","1","70670","698",2017/02/01 01:00:00+01,POINT(528838.6907000002 4824878.0429)
SRBRGI7100135,Храст код Шетке,Hrast kod Šetke,"7101","1","71005","702",2017/02/01 01:00:00+01,POINT(543541.9884000001 4840741.513800001)
SRBRGI7100136,Панчићева оморика на врху Пасјача,Pančićeva omorika na vrhu Pasjača,"7101","1","70068","112",2017/02/01 01:00:00+01,POINT(369778.5758999996 4867952.3508)
SRBRGI7100137,Бели јасен у Милочају,Beli jasen u Miločaju,"7101","1","70653","115",2017/02/01 01:00:00+01,POINT(470313.89070000034 4848581.4801)
SRBRGI7100138,Бели јасен – Звезда,Beli jasen – Zvezda,"7101","1","70068","159",2017/02/01 01:00:00+01,POINT(364257.1021999996 4870173.9878)
SRBRGI7100139,Буква – Црвене локве,Bukva – Crvene lokve,"7101","1","70068","164",2017/02/01 01:00:00+01,POINT(364781.0965999998 4868904.3387)
SRBRGI7100140,Храст лужњак на Мелници,Hrast lužnjak na Melnici,"7101","1","0","168",2019/10/14 14:25:06+02,POINT(463928.10369999986 4927398.8147)
SRBRGI7100141,Брекиња код Летенке,Brekinja kod Letenke,"7101","1","80403","175",2017/02/01 01:00:00+01,POINT(393551.72530000005 4998783.7936)
SRBRGI7100142,Црни бор у Врњачкој Бањи,Crni bor u Vrnjačkoj Banji,"7101","1","70459","178",2017/02/01 01:00:00+01,POINT(491378.4472000003 4829037.463300001)
SRBRGI7100143,Вештачка састојина мочварног чемпреса,Veštačka sastojina močvarnog čempresa,"7101","1","80063","181",2017/02/01 01:00:00+01,POINT(373149.52809999976 5010930.8215)
SRBRGI7100144,Храст лужњак у Биорцима,Hrast lužnjak u Biorcima,"7101","1","70483","362",2017/02/01 01:00:00+01,POINT(458228.0098000001 4871170.1677)
SRBRGI7100145,Пирамидални храст у Дунавском парку,Piramidalni hrast u Dunavskom parku,"7101","1","80284","366",2017/02/01 01:00:00+01,POINT(409850.0398000004 5011975.9542)
SRBRGI7100146,Три мочварна чемпреса у Футошком парку,Tri močvarna čempresa u Futoškom parku,"7101","1","80284","367",2017/02/01 01:00:00+01,POINT(407947.6102999998 5011404.241599999)
SRBRGI7100147,Бела топола у Петроварадину,Bela topola u Petrovaradinu,"7101","1","80284","368",2017/02/01 01:00:00+01,POINT(411796.39240000024 5011179.2623)
SRBRGI7100148,Храст китњак код Змајевца,Hrast kitnjak kod Zmajevca,"7101","1","80284","378",2017/02/01 01:00:00+01,POINT(405548.30539999995 5001132.6579)
SRBRGI7100149,Три црна ораха на пределу Косача,Tri crna oraha na predelu Kosača,"7101","1","80497","383",2017/02/01 01:00:00+01,POINT(375435.82019999996 5000815.361199999)
SRBRGI7100150,Буква код извора Бања,Bukva kod izvora Banja,"7101","1","80497","384",2017/02/01 01:00:00+01,POINT(374320.1486999998 5000406.6536)
SRBRGI7100151,Бреза на потесу Бранковац,Breza na potesu Brankovac,"7101","1","80101","402",2017/02/01 01:00:00+01,POINT(401160.6079000002 5001354.8781)
SRBRGI7100152,Цер у близини манастира Ђипша,Cer u blizini manastira Đipša,"7101","1","80063","429",2017/02/01 01:00:00+01,POINT(379774.8677000003 5003154.9355)
SRBRGI7100153,Цер код Летенке,Cer kod Letenke,"7101","1","80403","449",2017/02/01 01:00:00+01,POINT(395951.0338000003 4998933.7314)
SRBRGI7100154,Храст китњак Ђурђиног граба,Hrast kitnjak Đurđinog graba,"7101","1","80403","450",2017/02/01 01:00:00+01,POINT(395276.21279999986 4998858.758099999)
SRBRGI7100155,Храст китњак код Липовог чота,Hrast kitnjak kod Lipovog čota,"7101","1","80403","451",2017/02/01 01:00:00+01,POINT(397750.58359999955 4999383.5471)
SRBRGI7100156,Два храста цера – Селиште,Dva hrasta cera – Selište,"7101","1","70483","473",2017/02/01 01:00:00+01,POINT(450960.3679999998 4877293.695)
SRBRGI7100157,Храст цер – Орлијак,Hrast cer – Orlijak,"7101","1","70483","478",2017/02/01 01:00:00+01,POINT(450030.7559000002 4879043.1777)
SRBRGI7100158,Дуглазија код одмаралишта Тестера,Duglazija kod odmarališta Testera,"7101","1","80101","492",2017/02/01 01:00:00+01,POINT(394026.9012000002 5004231.985300001)
SRBRGI7100159,Азијски платан у шуми Дубоки јендек,Azijski platan u šumi Duboki jendek,"7101","1","80047","498",2017/02/01 01:00:00+01,POINT(339038.6151999999 5048372.839400001)
SRBRGI7100160,Два храста лужњака у Врњцима,Dva hrasta lužnjaka u Vrnjcima,"7101","1","70459","266",2017/02/01 01:00:00+01,POINT(493437.1556000002 4832057.474199999)
SRBRGI7100161,Две тисе у дворишту Карловачке гимназије,Dve tise u dvorištu Karlovačke gimnazije,"7101","1","80411","303",2017/02/01 01:00:00+01,POINT(416252.8054999998 5005967.6842)
SRBRGI7100162,Две тисе у Суботици,Dve tise u Subotici,"7101","1","80438","381",2017/02/01 01:00:00+01,POINT(397121.33189999964 5105887.589199999)
SRBRGI7100163,Две тисе Саборне цркве,Dve tise Saborne crkve,"7101","1","70246","444",2019/10/15 10:01:42+02,POINT(456657.50069999974 4962877.761299999)
SRBRGI7100164,Дивља крушка књегиње Љубице,Divlja kruška knjeginje Ljubice,"7101","1","70483","590",2017/02/01 01:00:00+01,POINT(442757.8013000004 4874144.862299999)
SRBRGI7100165,Кестен Јакшића на Сењаку,Kesten Jakšića na Senjaku,"7101","1","70220","617",2019/10/15 10:01:42+02,POINT(456112.36400000006 4960473.1592999995)
SRBRGI7100166,Панчићева оморика под Омаром,Pančićeva omorika pod Omarom,"7101","1","70068","44",2017/02/01 01:00:00+01,POINT(362831.4534 4866193.864499999)
SRBRGI7100167,Храстови лужњаци на Палићу,Hrastovi lužnjaci na Paliću,"7101","1","80438","707",2017/02/01 01:00:00+01,POINT(404104.50239999965 5106778.2904)
SRBRGI7100168,Храстови лужњаци на Палићу,Hrastovi lužnjaci na Paliću,"7101","1","80438","707",2017/02/01 01:00:00+01,POINT(404093.8431000002 5106773.199200001)
SRBRGI7100169,Храстови лужњаци на Палићу,Hrastovi lužnjaci na Paliću,"7101","1","80438","707",2017/02/01 01:00:00+01,POINT(404105.6133000003 5106771.1489)
SRBRGI7100170,Храстови лужњаци на Палићу,Hrastovi lužnjaci na Paliću,"7101","1","80438","707",2017/02/01 01:00:00+01,POINT(404094.4118999997 5106762.791099999)
SRBRGI7100171,Храстови лужњаци на Палићу,Hrastovi lužnjaci na Paliću,"7101","1","80438","707",2017/02/01 01:00:00+01,POINT(404114.3814000003 5106766.162900001)
SRBRGI7100172,Храстови лужњаци на Палићу,Hrastovi lužnjaci na Paliću,"7101","1","80438","707",2017/02/01 01:00:00+01,POINT(404070.7659 5106751.539999999)
