geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI4000032,Голема ливада,Golema livada,"4006","3","71358",2017/02/01 01:00:00+01,985.009300824122,"MULTILINESTRING((593072.3059 4708943.421700001,594057.2613000004 4708953.726199999))"
SRBRGI4000033,Божичка ливада,Božička livada,"4006","2","71358",2017/02/01 01:00:00+01,813.011297472228,"MULTILINESTRING((598534.6671000002 4706947.445800001,599347.6584999999 4706953.1338))"
SRBRGI4000034,Маркова ливада,Markova livada,"4006","2","71358",2017/02/01 01:00:00+01,1075.40628873465,"MULTILINESTRING((599304.1896000002 4710314.4901,600379.5300000003 4710326.394300001))"
SRBRGI4000035,Бећирове ливаде,Bećirove livade,"4006","2","70823",2017/02/01 01:00:00+01,746.273709791387,"MULTILINESTRING((548097.3032999998 4799141.8267,548625.7942000004 4799668.725))"
SRBRGI4000037,Големе ливаде,Goleme livade,"4006","2","70998",2017/02/01 01:00:00+01,1007.15416935157,"MULTILINESTRING((543354.6436000001 4798223.4902,543951.5448000003 4797412.276000001))"
SRBRGI4000038,Сува ливада,Suva livada,"4006","2","70998",2017/02/01 01:00:00+01,897.060269426068,"MULTILINESTRING((542629.1083000004 4796326.5097,543438.7348999996 4795940.2172))"
SRBRGI4000039,Бањске њиве,Banjske njive,"4004","2","70823",2017/02/01 01:00:00+01,2839.72682736708,"MULTILINESTRING((559357.3172000004 4792748.855,562037.0225999998 4791809.053200001))"
SRBRGI4000040,Виногради,Vinogradi,"4005","2","70998",2017/02/01 01:00:00+01,1340.33345487489,"MULTILINESTRING((543125.9708000002 4791124.555,543842.9930999996 4789992.136))"
SRBRGI4000041,Трнавачке њиве,Trnavačke njive,"4004","2","70998",2017/02/01 01:00:00+01,2127.22831673089,"MULTILINESTRING((541027.8693000004 4793087.3215,542349.4656999996 4791420.4432))"
SRBRGI4000042,Багремара,Bagremara,"4000","4","80063",2017/02/01 01:00:00+01,1725.48069577424,"MULTILINESTRING((372682.37179999985 5014338.9133,374407.6281000003 5014311.0865))"
SRBRGI4000043,Карађорђев храстик,Karađorđev hrastik,"4000","4","80063",2017/02/01 01:00:00+01,1922.78553764474,"MULTILINESTRING((366594.6655000001 5014683.508400001,368131.3685999997 5013527.8061))"
SRBRGI4000044,Прокупачки виногради,Prokupački vinogradi,"4005","4","70998",2017/02/01 01:00:00+01,3168.68181066779,"MULTILINESTRING((545247.8940000003 4787162.4583,547159.2478 4789689.7634))"
SRBRGI4000045,Старобожурски виногради,Starobožurski vinogradi,"4005","2","21",2017/02/01 01:00:00+01,1502.72919844959,"MULTILINESTRING((551453.0412999997 4786348.884,552953.2318000002 4786436.196699999))"
SRBRGI4000046,Пејковачки виногради,Pejkovački vinogradi,"4005","2","70548",2017/02/01 01:00:00+01,2030.25291268688,"MULTILINESTRING((558728.4523 4785041.7118,560683.0656000003 4785590.7234000005))"
