geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5016480,Клисура,Klisura,"5002","2","70238",2017/02/01 01:00:00+01,474.694517961417,"MULTILINESTRING((465968 4935653,466213 4935684,466434 4935739))"
SRBRGI5016481,Кара поток,Kara potok,"5002","2","70238",2017/02/01 01:00:00+01,329.054706697838,"MULTILINESTRING((467692 4934843,468021 4934849))"
SRBRGI5016482,Равнице,Ravnice,"5003","2","70238",2017/02/01 01:00:00+01,410.4623374469,"MULTILINESTRING((466925 4933413,466962 4933628,467048 4933800))"
SRBRGI5016483,Пећине,Pećine,"5003","2","70238",2017/02/01 01:00:00+01,190.1920082443,"MULTILINESTRING((467576 4937513,467754 4937580))"
SRBRGI5016484,Клисура,Klisura,"5002","2","70238",2017/02/01 01:00:00+01,203.354370496432,"MULTILINESTRING((465673 4929737,465876 4929749))"
SRBRGI5016485,Вртаче,Vrtače,"5002","2","70238",2017/02/01 01:00:00+01,193.023314653956,"MULTILINESTRING((465514 4929479,465707 4929482))"
SRBRGI5016486,Жуто брдо,Žuto brdo,"5003","4","70238",2017/02/01 01:00:00+01,667.047974286707,"MULTILINESTRING((464490 4931593,465157 4931601))"
SRBRGI5016487,Анатема,Anatema,"5003","2","70238",2017/02/01 01:00:00+01,457.53390970955,"MULTILINESTRING((463807 4931056,463875 4931296,463869 4931504))"
SRBRGI5016488,Грчка јаруга,Grčka jaruga,"5002","2","70238",2017/02/01 01:00:00+01,414.073664943812,"MULTILINESTRING((460966 4929694,461230 4929375))"
SRBRGI5016489,Литица,Litica,"5002","2","70238",2017/02/01 01:00:00+01,165.855358671344,"MULTILINESTRING((459097 4933563,459235 4933471))"
SRBRGI5016490,Вртача,Vrtača,"5002","2","0",2017/02/01 01:00:00+01,172.104619345327,"MULTILINESTRING((454798 4929798,454970 4929804))"
SRBRGI5016491,Комина јаруга,Komina jaruga,"5002","2","70637",2017/02/01 01:00:00+01,555.326189392077,"MULTILINESTRING((391609 4929350,391615 4929080,391658 4928798))"
SRBRGI5016583,Селиште,Selište,"5002","4","90140",2017/02/01 01:00:00+01,959.110377847159,"MULTILINESTRING((558661.6634999998 4718747.216600001,559076.7004000004 4717882.556500001))"
SRBRGI5016492,Вртаче,Vrtače,"5003","2","70238",2017/02/01 01:00:00+01,348.655610616316,"MULTILINESTRING((460923 4928092,461027 4928227,461150 4928356))"
SRBRGI5016493,Рогачко брдо,Rogačko brdo,"5003","2","70238",2017/02/01 01:00:00+01,852.597473181452,"MULTILINESTRING((465372 4928215,465710 4928423,466152 4928534))"
SRBRGI5016494,Стрмоглавчине,Strmoglavčine,"5003","3","70238",2017/02/01 01:00:00+01,742.84866963029,"MULTILINESTRING((466624 4928224,466950 4928232,467366 4928207))"
SRBRGI5016495,Равнине,Ravnine,"5002","2","70238",2017/02/01 01:00:00+01,406.044332554956,"MULTILINESTRING((466155 4924432,466561 4924426))"
SRBRGI5016496,Дебели брег,Debeli breg,"5002","2","70343",2017/02/01 01:00:00+01,472.660499929885,"MULTILINESTRING((499010 4802446,499194 4802249,499302 4802077))"
SRBRGI5016497,Стијена,Stijena,"5002","2","17",2017/02/01 01:00:00+01,184.024454896625,"MULTILINESTRING((447310 4871098,447494 4871101))"
SRBRGI5016498,Бајића брдо,Bajića brdo,"5003","5","71153",2017/02/01 01:00:00+01,639.336146118742,"MULTILINESTRING((469927 4893812,470132 4893574,470330 4893316))"
SRBRGI5016499,Душник,Dušnik,"5002","2","70394",2017/02/01 01:00:00+01,416.097815133958,"MULTILINESTRING((527753 4954620,527867 4954795,528017 4954938))"
SRBRGI5016500,Падина,Padina,"5002","2","70394",2017/02/01 01:00:00+01,408.681212949587,"MULTILINESTRING((528366 4957468,528537 4957347,528696 4957227))"
SRBRGI5016501,Дос,Dos,"5002","2","70947",2017/02/01 01:00:00+01,401.103477920598,"MULTILINESTRING((525553 4956712,525883 4956484))"
SRBRGI5016502,Долови,Dolovi,"5002","2","70807",2017/02/01 01:00:00+01,197.709382680742,"MULTILINESTRING((530372 4929815,530547 4929907))"
SRBRGI5016503,Гарда,Garda,"5005","2","70394",2017/02/01 01:00:00+01,270.02962800404,"MULTILINESTRING((532586 4957380,532856 4957376))"
SRBRGI5016504,Хумке,Humke,"5005","2","70394",2017/02/01 01:00:00+01,1214.80847610128,"MULTILINESTRING((537835 4956416,538331 4956912,538767 4957183))"
