geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI3101998,Видарица,Vidarica,"3101","4","90298",2017/02/01 01:00:00+01,POINT(495179.8219999997 4761481.6083)
SRBRGI3101999,Хајдучко врело,Hajdučko vrelo,"3101","2","71234",2020/07/17 12:00:57+02,POINT(392393.1442 4845142.9122)
SRBRGI3102000,Студенац,Studenac,"3101","2","71234",2017/02/01 01:00:00+01,POINT(394476.95270000026 4844478.1152)
SRBRGI3102001,Студенац,Studenac,"3101","2","71234",2020/07/17 12:00:57+02,POINT(400756.6853 4844764.0962000005)
SRBRGI3102002,Врело,Vrelo,"3101","3","71234",2020/07/17 12:00:57+02,POINT(402151.9709999999 4844898.282299999)
SRBRGI3102003,Врело,Vrelo,"3101","2","70041",2017/02/01 01:00:00+01,POINT(424529.18149999995 4844751.9595)
SRBRGI3102004,Михајловића врела,Mihajlovića vrela,"3101","2","70742",2017/02/01 01:00:00+01,POINT(433521.59329999983 4846097.3684)
SRBRGI3102005,Студенац,Studenac,"3101","2","71030",2020/07/16 13:40:35+02,POINT(509980.16619999986 4845441.0067)
SRBRGI3102006,Чесма,Česma,"3106","2","71030",2017/02/01 01:00:00+01,POINT(518595.2269000001 4848184.9351)
SRBRGI3102007,Стара чесма,Stara česma,"3106","2","70904",2017/02/01 01:00:00+01,POINT(535847.0208 4847580.361)
SRBRGI3102008,Цалићева бара,Calićeva bara,"3101","3","70319",2017/02/01 01:00:00+01,POINT(576806.9840000002 4847634.6007)
SRBRGI3102009,Слани кладенац,Slani kladenac,"3101","2","70319",2017/02/01 01:00:00+01,POINT(584907.2188999997 4852935.5384)
SRBRGI3102010,Врело,Vrelo,"3101","2","70319",2017/02/01 01:00:00+01,POINT(560242.1820999999 4849873.2447)
SRBRGI3102011,Ради Кладенац,Radi Kladenac,"3101","2","70904",2017/02/01 01:00:00+01,POINT(549732.3819000004 4852412.191500001)
SRBRGI3102012,Савина вода,Savina voda,"3101","2","70742",2017/02/01 01:00:00+01,POINT(446333.5376000004 4850601.3795)
SRBRGI3102013,Стублина,Stublina,"3101","2","70742",2020/07/16 13:40:35+02,POINT(445530.93099999987 4851930.221999999)
SRBRGI3102014,Врело,Vrelo,"3101","2","70742",2017/02/01 01:00:00+01,POINT(444533.8382000001 4851852.861199999)
SRBRGI3102015,Чаир,Čair,"3101","2","70955",2020/07/17 12:00:57+02,POINT(425396.72300000023 4849539.635500001)
SRBRGI3102016,Гај,Gaj,"3101","2","70955",2017/02/01 01:00:00+01,POINT(425358.3872999996 4849210.7267)
SRBRGI3102017,Језеро,Jezero,"3101","2","71145",2017/02/01 01:00:00+01,POINT(402527.44579999987 4852487.465600001)
SRBRGI3102018,Лесковача,Leskovača,"3101","2","71145",2020/07/17 12:00:57+02,POINT(387800.90809999965 4850128.824899999)
SRBRGI3102019,Вреоц,Vreoc,"3101","2","71145",2017/02/01 01:00:00+01,POINT(384872.82299999986 4852180.9452)
SRBRGI3102020,Сировица,Sirovica,"3101","2","71145",2020/07/17 12:00:57+02,POINT(377157.6453999998 4851117.448999999)
SRBRGI3102021,Добриш,Dobriš,"3101","2","71145",2020/07/17 12:00:57+02,POINT(372126.54559999984 4850426.5569)
SRBRGI3102022,Студенац,Studenac,"3101","2","70068",2017/02/01 01:00:00+01,POINT(370401.14410000015 4855705.7314)
SRBRGI3102023,Милојева вода,Milojeva voda,"3101","2","70068",2017/02/01 01:00:00+01,POINT(369628.5592 4855038.9801)
SRBRGI3102024,Врујци,Vrujci,"3101","2","70068",2020/07/17 12:00:57+02,POINT(371236.9232000001 4855394.1055)
SRBRGI3102025,Букве,Bukve,"3101","2","71145",2020/07/17 12:00:57+02,POINT(378310.89499999955 4856636.487299999)
SRBRGI3102026,Радулиновац,Radulinovac,"3101","2","71145",2017/02/01 01:00:00+01,POINT(383399.0909000002 4854216.1241999995)
SRBRGI3102027,Врелац,Vrelac,"3101","2","71145",2020/07/17 12:00:57+02,POINT(387520.04980000015 4853769.666300001)
SRBRGI3102028,Савинац,Savinac,"3101","2","70955",2020/07/17 12:00:57+02,POINT(420870.86930000037 4854814.775599999)
SRBRGI3102029,Мачков камен,Mačkov kamen,"3101","2","70955",2017/02/01 01:00:00+01,POINT(422076.4890999999 4855766.056500001)
SRBRGI3102030,Врела вода,Vrela voda,"3101","2","71242",2020/07/16 13:40:35+02,POINT(442515.09619999956 4855274.1252999995)
SRBRGI3102031,Хајдучка вода,Hajdučka voda,"3101","2","71030",2020/07/17 12:00:57+02,POINT(497361.8217000002 4854700.239)
SRBRGI3102032,Бакарни кладенац,Bakarni kladenac,"3101","2","71048",2017/02/01 01:00:00+01,POINT(520611.7527999999 4856988.434)
SRBRGI3102033,Слатина,Slatina,"3101","2","70904",2017/02/01 01:00:00+01,POINT(525313.9373000003 4854339.420299999)
SRBRGI3102034,Славков бунар,Slavkov bunar,"3103","2","70319",2017/02/01 01:00:00+01,POINT(556673.4749999996 4856583.6206)
SRBRGI3102035,Врело,Vrelo,"3101","2","70319",2017/02/01 01:00:00+01,POINT(562859.9748 4860589.9495)
SRBRGI3102036,Кременита вода,Kremenita voda,"3101","2","70904",2017/02/01 01:00:00+01,POINT(548938.6303000003 4859058.5381000005)
SRBRGI3102037,Јаковљев кладенац,Jakovljev kladenac,"3101","2","70904",2017/02/01 01:00:00+01,POINT(522707.2570000002 4858230.9198)
SRBRGI3102038,Батровац,Batrovac,"3101","2","70866",2017/02/01 01:00:00+01,POINT(404981.1966000004 4809241.630100001)
SRBRGI3102039,Дуланска чесма,Dulanska česma,"3106","2","70866",2017/02/01 01:00:00+01,POINT(398613.1922000004 4811633.4683)
SRBRGI3102040,Радача,Radača,"3101","2","70980",2017/02/01 01:00:00+01,POINT(397485.00659999996 4809424.722200001)
SRBRGI3102041,Вијуљ,Vijulj,"3101","2","70980",2020/07/17 12:00:57+02,POINT(396748.8454 4809302.7574000005)
SRBRGI3102042,Бјеличка вода,Bjelička voda,"3101","2","70980",2017/02/01 01:00:00+01,POINT(394994.21410000045 4809861.285499999)
SRBRGI3102043,Студенац,Studenac,"3101","2","70980",2017/02/01 01:00:00+01,POINT(394084.04559999984 4808726.220799999)
SRBRGI3102044,Корита,Korita,"3101","2","70980",2020/07/17 12:00:57+02,POINT(392915.0970999999 4811749.6204)
SRBRGI3102045,Врело,Vrelo,"3101","2","70980",2017/02/01 01:00:00+01,POINT(396559.8097000001 4811046.7271)
SRBRGI3102046,Бакаруша,Bakaruša,"3101","2","70980",2020/07/17 12:00:57+02,POINT(387680.3180999998 4811310.1537)
SRBRGI3102047,Јововача,Jovovača,"3101","2","70980",2017/02/01 01:00:00+01,POINT(385621.06620000023 4811429.738700001)
SRBRGI3102048,Вржина,Vržina,"3101","2","70980",2020/07/17 12:16:39+02,POINT(379276.8223000001 4808942.356899999)
SRBRGI3102049,Вијогор,Vijogor,"3101","2","70980",2020/07/17 12:16:39+02,POINT(378027.9341000002 4809596.8989)
SRBRGI3102050,Даруља,Darulja,"3101","2","70971",2017/02/01 01:00:00+01,POINT(371297.0251000002 4808519.8454)
SRBRGI3102051,Добра вода,Dobra voda,"3101","2","70971",2017/02/01 01:00:00+01,POINT(366135.8317 4809169.8397)
SRBRGI3102052,Ивовик,Ivovik,"3101","2","70971",2017/02/01 01:00:00+01,POINT(359562.20160000026 4813552.2304)
